Cor_cand,Genero,Total de Votos,Quantidade de Candidaturas,media_votos,%_votos
BRANCA,MASCULINO,1466247,15288,95.90835949764521,51.35
BRANCA,FEMININO,305246,6468,47.19325912183055,10.69
PARDA,MASCULINO,488386,10682,45.720464332522,17.1
PRETA,MASCULINO,286489,6713,42.67674661105318,10.03
PRETA,FEMININO,206679,4998,41.35234093637455,7.24
NÃO INFORMADO,MASCULINO,3133,98,31.96938775510204,0.11
INDÍGENA,FEMININO,2227,98,22.724489795918366,0.08
PARDA,FEMININO,95161,4263,22.32254281022754,3.33
AMARELA,FEMININO,1910,147,12.993197278911564,0.07
NÃO INFORMADO,FEMININO,79,49,1.6122448979591837,0.0
AMARELA,MASCULINO,15,49,0.30612244897959184,0.0
